Byte #,Decimal,Hex,Binary,ASCII
158,128,0x80,0b10000000,( ? ),
159,240,0xF0,0b11110000,( ? ),
160,128,0x80,0b10000000,( ? ),
161,85,0x55,0b01010101,    U,
162,160,0xA0,0b10100000,( ? ),
163,170,0xAA,0b10101010,( ? ),
164,96,0x60,0b01100000,    `,
165,164,0xA4,0b10100100,( ? ),
166,128,0x80,0b10000000,( ? ),
167,240,0xF0,0b11110000,( ? ),
168,128,0x80,0b10000000,( ? ),
169,85,0x55,0b01010101,    U,
170,160,0xA0,0b10100000,( ? ),
171,170,0xAA,0b10101010,( ? ),
172,96,0x60,0b01100000,    `,
173,164,0xA4,0b10100100,( ? ),
174,128,0x80,0b10000000,( ? ),
175,240,0xF0,0b11110000,( ? ),
176,128,0x80,0b10000000,( ? ),
177,85,0x55,0b01010101,    U,
178,160,0xA0,0b10100000,( ? ),
179,170,0xAA,0b10101010,( ? ),
180,96,0x60,0b01100000,    `,
181,164,0xA4,0b10100100,( ? ),
182,128,0x80,0b10000000,( ? ),
183,240,0xF0,0b11110000,( ? ),
184,128,0x80,0b10000000,( ? ),
185,85,0x55,0b01010101,    U,
186,160,0xA0,0b10100000,( ? ),
187,170,0xAA,0b10101010,( ? ),
188,96,0x60,0b01100000,    `,
189,164,0xA4,0b10100100,( ? ),
190,128,0x80,0b10000000,( ? ),
191,240,0xF0,0b11110000,( ? ),
192,128,0x80,0b10000000,( ? ),
193,85,0x55,0b01010101,    U,
194,160,0xA0,0b10100000,( ? ),
195,170,0xAA,0b10101010,( ? ),
196,96,0x60,0b01100000,    `,
197,164,0xA4,0b10100100,( ? ),
198,128,0x80,0b10000000,( ? ),
199,240,0xF0,0b11110000,( ? ),
200,128,0x80,0b10000000,( ? ),
201,85,0x55,0b01010101,    U,
202,160,0xA0,0b10100000,( ? ),
203,170,0xAA,0b10101010,( ? ),
204,96,0x60,0b01100000,    `,
205,164,0xA4,0b10100100,( ? ),
206,128,0x80,0b10000000,( ? ),
207,240,0xF0,0b11110000,( ? ),
208,128,0x80,0b10000000,( ? ),
209,85,0x55,0b01010101,    U,
210,160,0xA0,0b10100000,( ? ),
211,170,0xAA,0b10101010,( ? ),
212,96,0x60,0b01100000,    `,
213,164,0xA4,0b10100100,( ? ),
214,128,0x80,0b10000000,( ? ),
215,240,0xF0,0b11110000,( ? ),
216,128,0x80,0b10000000,( ? ),
217,85,0x55,0b01010101,    U,
218,160,0xA0,0b10100000,( ? ),
219,170,0xAA,0b10101010,( ? ),
220,96,0x60,0b01100000,    `,
221,164,0xA4,0b10100100,( ? ),
222,128,0x80,0b10000000,( ? ),
223,240,0xF0,0b11110000,( ? ),
224,128,0x80,0b10000000,( ? ),
225,85,0x55,0b01010101,    U,
226,160,0xA0,0b10100000,( ? ),
227,170,0xAA,0b10101010,( ? ),
228,96,0x60,0b01100000,    `,
229,164,0xA4,0b10100100,( ? ),
230,128,0x80,0b10000000,( ? ),
231,240,0xF0,0b11110000,( ? ),
232,128,0x80,0b10000000,( ? ),
233,85,0x55,0b01010101,    U,
234,160,0xA0,0b10100000,( ? ),
235,170,0xAA,0b10101010,( ? ),
236,96,0x60,0b01100000,    `,
237,164,0xA4,0b10100100,( ? ),
238,128,0x80,0b10000000,( ? ),
239,240,0xF0,0b11110000,( ? ),
240,128,0x80,0b10000000,( ? ),
241,85,0x55,0b01010101,    U,
242,160,0xA0,0b10100000,( ? ),
243,170,0xAA,0b10101010,( ? ),
244,96,0x60,0b01100000,    `,
245,164,0xA4,0b10100100,( ? ),
246,128,0x80,0b10000000,( ? ),
247,251,0xFB,0b11111011,( ? ),
248,128,0x80,0b10000000,( ? ),
249,0,0x00,0b00000000, NULL,
250,160,0xA0,0b10100000,( ? ),
251,0,0x00,0b00000000, NULL,
252,96,0x60,0b01100000,    `,
253,164,0xA4,0b10100100,( ? ),
254,128,0x80,0b10000000,( ? ),
255,240,0xF0,0b11110000,( ? ),
256,128,0x80,0b10000000,( ? ),
257,85,0x55,0b01010101,    U,
258,160,0xA0,0b10100000,( ? ),
259,170,0xAA,0b10101010,( ? ),
260,96,0x60,0b01100000,    `,
261,164,0xA4,0b10100100,( ? ),
262,128,0x80,0b10000000,( ? ),
263,240,0xF0,0b11110000,( ? ),
264,128,0x80,0b10000000,( ? ),
265,85,0x55,0b01010101,    U,
266,160,0xA0,0b10100000,( ? ),
267,170,0xAA,0b10101010,( ? ),
268,0,0x00,0b00000000, NULL,
269,0,0x00,0b00000000, NULL,
